Question,Answer
Was Abraham Lincoln the sixteenth President of the United States?,Yes
Did Lincoln sign the National Banking Act of 1863?,Yes
Did his mother die of pneumonia?,No
How many long was Lincoln's formal education?,18 months
When did Lincoln begin his political career?,1832
What did The Legal Tender Act of 1862 establish?,The United States Note
Who suggested Lincoln grow a beard?,Grace Bedell
When did the Gettysburg address argue that America was born?,1776
Did Lincoln beat John C. Breckinridge in the 1860 election?,Yes
Was Abraham Lincoln the first President of the United States?,No
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes
Which county was Lincoln born in?,Hardin County
When did Lincoln first serve as President?,March 4 1861
Who assassinated Lincoln?,John Wilkes Booth
Did Lincoln win the election of 1860?,Yes
Who was the general in charge at the Battle of Antietam?,George McClellan
Why did Lincoln issue the Emancipation Proclamation?,To weaken the rebellion
Do scholars rank Lincoln among the top three presidents?,Yes
Is the Earth the third planet from the Sun?,Yes
What is the chemical symbol for water?,H2O
Who discovered penicillin?,Alexander Fleming
What is the capital of France?,Paris
When did World War II end?,1945
What gas do plants use for photosynthesis?,Carbon dioxide
Who wrote Romeo and Juliet?,William Shakespeare
What is the largest mammal on Earth?,Blue whale
What is the longest river in the world?,Nile
Who was the first person to walk on the Moon?,Neil Armstrong
What is the freezing point of water in Celsius?,0
What element has the atomic number 6?,Carbon
When was the Declaration of Independence signed?,1776
What is the primary source of energy for Earth's climate system?,Sun
Who painted the Mona Lisa?,Leonardo da Vinci
What is the smallest country in the world?,Vatican City
What is the main ingredient in guacamole?,Avocado
Who invented the telephone?,Alexander Graham Bell
What is the largest desert in the world?,Sahara
What is the currency of Japan?,Yen
When did the Titanic sink?,1912
What is the powerhouse of the cell?,Mitochondria
Who was the first female U.S. Secretary of State?,Madeleine Albright
What is the tallest mountain in the world?,Mount Everest
What is the primary language of Brazil?,Portuguese
Who developed the theory of relativity?,Albert Einstein
What is the largest planet in our solar system?,Jupiter
What is the capital of Australia?,Canberra
When was the internet first developed?,1960s
What is the main source of oxygen in Earth's atmosphere?,Phytoplankton
Who was the first president of the United States?,George Washington
What is the chemical formula for table salt?,NaCl
What is the largest ocean on Earth?,Pacific Ocean
Who wrote Pride and Prejudice?,Jane Austen
What is the capital of Canada?,Ottawa
When was the United Nations founded?,1945
What is the primary function of red blood cells?,Carry oxygen
Who discovered gravity?,Isaac Newton
What is the longest bone in the human body?,Femur
What is the currency of the United Kingdom?,Pound Sterling
When did the American Civil War begin?,1861
What is the main ingredient in sushi?,Rice
Who was the first woman to win a Nobel Prize?,Marie Curie
What is the largest country by land area?,Russia
What is the capital of India?,New Delhi
When was the first iPhone released?,2007
